Industry,Packaging_Material,Material_Type,Packaged_Item,Strength,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Packaging_Cost_INR,Strength_Encoded,CO2_Impact_Index,Cost_per_kg,Cost_Efficiency_Index,Material_Suitability_Score,Log_Packaging_Cost,Sustainability_Tier
Food,Glass Jar,Glass,Rice,High,24.64,33,51,93,12.91,3,41.0,0.5239,98.909,80.277,2.6326,Excellent
Toys,Sbs Board,Cardboard,Dolls,Medium,18.21,64,42,86,20.98,2,61.0,1.1521,97.6,77.533,3.0901,Excellent
Furniture,Cork Packaging,Natural Material,Study Table,Medium,8.97,91,24,83,21.09,2,83.5,2.3512,95.102,82.909,3.0951,Excellent
Toys,Corrugated Cardboard,Cardboard,Chess Set,High,53.95,71,38,91,2.29,3,66.5,0.0424,99.912,87.678,1.1909,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Iron Box,High,48.14,71,38,92,57.03,3,66.5,1.1847,97.532,87.333,4.061,Excellent
Furniture,Cork Packaging,Natural Material,Bookshelf,Medium,9.92,90,23,87,89.15,2,83.5,8.9869,81.279,80.453,4.5015,Excellent
Food,Sugarcane Bottle,Bioplastic,Beer,Medium,7.1,87,25,72,47.46,2,81.0,6.6845,86.075,77.152,3.8807,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Usb Charger,High,50.3,74,40,94,8.04,3,67.0,0.1598,99.667,88.517,2.2017,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Water Purifier,High,41.54,73,38,95,20.15,3,67.5,0.4851,98.989,88.747,3.0516,Excellent
Healthcare,Amber Glass Bottle,Glass,Digestive Enzymes,High,29.33,30,57,93,34.78,3,36.5,1.1858,97.53,78.583,3.5774,Excellent
Food,Stone Paper,Paper,Mango Pulp,Medium,10.51,59,50,86,11.49,2,54.5,1.0932,97.723,75.614,2.5249,Excellent
Toys,Corrugated Cardboard,Cardboard,Action Figures,High,54.54,69,40,88,22.29,3,64.5,0.4087,99.149,86.137,3.148,Excellent
Home Appliances,Molded Pulp,Paper,Pressure Cooker,Medium,9.1,77,36,89,1.77,2,70.5,0.1945,99.595,81.632,1.0188,Excellent
Textiles,Recycled Kraft Paper,Paper,Bed Sheets,Medium,11.71,73,36,87,19.38,2,68.5,1.655,96.552,79.771,3.0146,Excellent
Textiles,Kraft Paper,Paper,Workwear,Medium,15.16,65,44,84,8.61,2,60.5,0.5679,98.817,77.188,2.2628,Excellent
Construction,Kraft Paper,Paper,Sealant,Medium,15.9,66,45,87,1.99,2,60.5,0.1252,99.739,78.168,1.0953,Excellent
Food,Wheat Straw Pulp Box,Agricultural Waste,Dry Fruits,Medium,6.31,86,25,86,4.46,2,80.5,0.7068,98.528,83.615,1.6974,Excellent
Automotive,Honeycomb Board,Cardboard,Brake Fluid,High,41.12,74,37,92,54.62,3,68.5,1.3283,97.233,87.858,4.0185,Excellent
Toys,Kraft Paper,Paper,Bamboo Toys,Medium,15.61,67,47,88,16.6,2,60.0,1.0634,97.785,77.78,2.8679,Excellent
Electronics,Corrugated Cardboard,Cardboard,Hair Dryer,High,47.05,70,39,89,53.36,3,65.5,1.1341,97.637,86.309,3.9956,Excellent
Food,Banana Leaf Wrap,Natural Fiber,Soy Sauce,Low,1.75,94,10,96,56.15,1,92.0,32.0857,33.16,66.557,4.0457,Good
Healthcare,Rpet Tray,Recycled Plastic,Capsules,Medium,9.97,9,73,81,30.74,2,18.0,3.0832,93.577,62.378,3.4576,Good
Textiles,Corrugated Cardboard,Cardboard,Blankets,High,53.76,71,43,88,32.67,3,64.0,0.6077,98.734,85.884,3.5166,Excellent
Toys,Corrugated Cardboard,Cardboard,Chess Set,High,53.96,69,38,92,41.03,3,65.5,0.7604,98.416,87.254,3.7384,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Smart Watch,Low,8.6,84,25,91,45.42,1,79.5,5.2814,88.998,75.516,3.8377,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Keyboard,Low,8.68,82,26,89,6.72,1,78.0,0.7742,98.387,76.913,2.0438,Excellent
Construction,Kraft Paper,Paper,Marble Polish,Medium,13.54,64,44,83,2.9,2,60.0,0.2142,99.554,76.972,1.361,Excellent
Construction,Jute Sack,Natural Fiber,Primer,High,25.09,88,19,91,20.15,3,84.5,0.8031,98.327,92.682,3.0516,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Microwave,High,40.56,72,41,89,32.36,3,65.5,0.7978,98.338,86.484,3.5074,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Foot Cream,Medium,10.5,89,19,86,6.95,2,85.0,0.6619,98.621,84.989,2.0732,Excellent
Cosmetics,Sbs Board,Cardboard,Bath Salts,Medium,19.9,66,40,87,16.44,2,63.0,0.8261,98.279,78.553,2.8588,Excellent
Furniture,Molded Pulp,Paper,Study Table,Medium,8.7,80,37,93,9.78,2,71.5,1.1241,97.658,82.448,2.3777,Excellent
Toys,Bamboo Container,Natural Fiber,Basket Ball,High,13.24,93,19,80,8.81,3,87.0,0.6654,98.614,90.754,2.2834,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Led Bulb,Low,7.03,82,27,88,10.89,1,77.5,1.5491,96.773,76.11,2.4757,Excellent
Furniture,Corrugated Cardboard,Cardboard,Dining Table,High,54.61,70,40,90,12.69,3,65.0,0.2324,99.516,86.879,2.6167,Excellent
Cosmetics,Recycled Cardboard Box,Recycled Cardboard,Perfume,High,49.17,74,41,93,33.37,3,66.5,0.6787,98.586,87.846,3.5372,Excellent
Automotive,Molded Pulp,Paper,Engine Oil,Medium,9.66,75,32,89,4.87,2,71.5,0.5041,98.95,81.771,1.7699,Excellent
Healthcare,Sbs Board,Cardboard,Vaccine,Medium,19.96,68,41,87,4.2,2,63.5,0.2104,99.562,79.024,1.6487,Excellent
Healthcare,Recycled Cardboard Box,Recycled Cardboard,First Aid Kit,High,40.71,70,37,89,2.29,3,66.5,0.0563,99.883,87.171,1.1909,Excellent
Construction,Corrugated Cardboard,Cardboard,Grout,High,54.68,68,38,91,22.65,3,65.0,0.4142,99.137,87.034,3.1634,Excellent
Construction,Aluminum Can,Metal,Primer,High,8.71,21,72,100,139.9,3,24.5,16.062,66.54,68.985,4.9481,Good
Textiles,Cotton Bag,Natural Fiber,Thread Spools,Medium,10.52,92,21,83,5.77,2,85.5,0.5485,98.857,84.448,1.9125,Excellent
Toys,Corrugated Cardboard,Cardboard,Bamboo Toys,High,50.26,70,43,90,20.69,3,63.5,0.4117,99.142,86.336,3.0769,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Power Bank,Low,8.51,83,22,87,3.06,1,80.5,0.3596,99.251,77.379,1.4012,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Air Purifier,High,46.29,72,38,93,29.23,3,67.0,0.6315,98.684,88.021,3.4088,Excellent
Toys,Recycled Cardboard Box,Recycled Cardboard,Remote Control Car,High,49.73,75,41,95,38.44,3,67.0,0.773,98.39,88.447,3.6748,Excellent
Food,Recycled Cardboard Box,Recycled Cardboard,Jam,High,45.74,74,41,92,2.92,3,66.5,0.0638,99.867,87.917,1.3661,Excellent
Textiles,Cotton Bag,Natural Fiber,Towels,Medium,9.51,89,24,84,15.6,2,82.5,1.6404,96.583,83.229,2.8094,Excellent
Construction,Jute Sack,Natural Fiber,Paint,High,23.82,91,20,88,34.56,3,85.5,1.4509,96.978,91.894,3.5712,Excellent
Toys,Sbs Board,Cardboard,Football,Medium,19.12,66,46,90,6.92,2,60.0,0.3619,99.246,78.645,2.0694,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Sandwich Maker,High,47.15,72,40,92,39.15,3,66.0,0.8303,98.27,87.367,3.6926,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Solar Lamp,Medium,13.68,92,20,87,30.67,2,86.0,2.242,95.33,84.716,3.4554,Excellent
Home Appliances,Honeycomb Board,Cardboard,Hand Blender,High,37.51,72,40,92,3.36,3,66.0,0.0896,99.813,87.753,1.4725,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Cleaning Spray,High,46.59,72,40,94,35.59,3,66.0,0.7639,98.409,87.902,3.5998,Excellent
Food,Sugarcane Bottle,Bioplastic,Mineral Water,Medium,7.7,83,23,77,28.67,2,80.0,3.7234,92.244,79.644,3.3901,Excellent
Construction,Kraft Paper,Paper,Floor Leveling Compound,Medium,13.74,67,44,88,1.27,2,61.5,0.0924,99.808,78.735,0.8198,Excellent
Home Appliances,Molded Pulp,Paper,Toaster,Medium,9.48,76,33,91,10.22,2,71.5,1.0781,97.754,81.972,2.4177,Excellent
Cosmetics,Rpet Tray,Recycled Plastic,Mascara,Medium,11.36,14,69,79,4.96,2,22.5,0.4366,99.09,64.606,1.7851,Good
Cosmetics,Recycled Glass Jar,Recycled Glass,Face Serum,High,21.31,35,55,93,75.65,3,40.0,3.55,92.605,78.401,4.3392,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Computer Desk,High,38.37,69,38,95,7.48,3,65.5,0.1949,99.594,88.298,2.1377,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Coffee Table,High,46.63,73,38,93,8.59,3,67.5,0.1842,99.616,88.404,2.2607,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Table Fan,High,40.92,74,37,95,4.42,3,68.5,0.108,99.775,89.244,1.6901,Excellent
Textiles,Recycled Kraft Paper,Paper,Jacket,Medium,11.84,69,38,85,25.39,2,65.5,2.1444,95.533,78.117,3.273,Excellent
Healthcare,Glassine Paper,Paper,Injections,Low,5.39,63,51,83,7.47,1,56.0,1.3859,97.113,68.495,2.1365,Good
Furniture,Recycled Cardboard Box,Recycled Cardboard,Bookshelf,High,47.7,71,37,95,28.23,3,67.0,0.5918,98.767,88.542,3.3752,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Cement Bags,High,45.27,75,35,92,19.98,3,70.0,0.4414,99.08,88.77,3.0436,Excellent
Furniture,Honeycomb Board,Cardboard,Wall Shelf,High,35.09,71,38,91,22.97,3,66.5,0.6546,98.636,87.359,3.1768,Excellent
Construction,Aluminum Can,Metal,Waterproofing Chemical,High,10.67,21,71,95,13.19,3,25.0,1.2362,97.425,75.606,2.6525,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Led Strip,High,39.74,70,41,92,27.49,3,64.5,0.6917,98.559,86.99,3.3496,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Pillow Covers,Medium,12.25,88,19,90,33.22,2,84.5,2.7118,94.351,84.771,3.5328,Excellent
Furniture,Molded Pulp,Paper,Dressing Table,Medium,10.18,78,34,91,4.72,2,72.0,0.4637,99.034,82.442,1.744,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Electric Kettle,High,52.85,68,42,92,5.17,3,63.0,0.0978,99.796,86.849,1.8197,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Mixer Grinder,Low,3.35,87,19,73,47.63,1,84.0,14.2179,70.382,67.712,3.8842,Good
Healthcare,Amber Glass Bottle,Glass,Face Masks,High,31.28,34,60,96,105.88,3,37.0,3.3849,92.949,78.337,4.6717,Excellent
Food,Corrugated Cardboard,Cardboard,Wheat Flour,High,46.49,69,38,91,3.2,3,65.5,0.0688,99.857,87.364,1.4351,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Kajal,Medium,7.67,86,26,68,16.02,2,80.0,2.0887,95.649,78.246,2.8344,Excellent
Automotive,Corrugated Cardboard,Cardboard,Air Filter,High,47.01,69,39,91,1.83,3,65.0,0.0389,99.919,87.23,1.0403,Excellent
Automotive,Kraft Paper,Paper,Fuel Injector,Medium,13.97,63,44,87,2.44,2,59.5,0.1747,99.636,77.842,1.2355,Excellent
Automotive,Kraft Paper,Paper,Seat Covers,Medium,16.34,65,45,85,0.98,2,60.0,0.06,99.875,77.552,0.6831,Excellent
Construction,Hemp Fiber Bag,Natural Fiber,Plaster Of Paris,Medium,11.46,93,17,85,75.6,2,88.0,6.5969,86.258,82.548,4.3386,Excellent
Food,Banana Leaf Wrap,Natural Fiber,Pickles,Low,1.81,96,11,99,23.25,1,92.5,12.8453,73.241,77.477,3.1884,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Exfoliating Scrub,Medium,7.94,85,28,72,4.41,2,78.5,0.5554,98.843,79.594,1.6882,Excellent
Textiles,Recycled Cardboard Box,Recycled Cardboard,Yarn,High,51.22,69,38,90,41.26,3,65.5,0.8055,98.322,86.73,3.7438,Excellent
Textiles,Cotton Bag,Natural Fiber,Salwar Kameez,Medium,11.29,87,24,86,26.7,2,81.5,2.3649,95.074,83.052,3.3214,Excellent
Food,Pla Bioplastic,Bioplastic,Ghee,Medium,7.24,87,27,71,46.58,2,80.0,6.4337,86.598,76.733,3.8624,Excellent
Food,Pla Bioplastic,Bioplastic,Cake,Medium,6.95,82,23,71,4.89,2,79.5,0.7036,98.534,79.567,1.7733,Excellent
Food,Rice Husk Tray,Agricultural Waste,Ghee,Medium,5.73,88,22,81,31.88,2,83.0,5.5637,88.41,80.586,3.4929,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Stand Mixer,Low,3.23,86,21,70,35.7,1,82.5,11.0526,76.976,68.161,3.6028,Good
Cosmetics,Rpet Tray,Recycled Plastic,Lipstick,Medium,9.03,9,75,78,37.0,2,17.0,4.0975,91.464,60.799,3.6376,Good
Automotive,Corrugated Cardboard,Cardboard,Air Filter,High,51.91,71,37,92,17.69,3,67.0,0.3408,99.29,87.922,2.928,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Extension Cord,High,45.38,70,41,92,0.9,3,64.5,0.0198,99.959,87.34,0.6419,Excellent
Electronics,Honeycomb Board,Cardboard,Hard Drive,High,41.71,71,38,91,2.38,3,66.5,0.0571,99.881,87.67,1.2179,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Antiseptic Cream,Medium,6.22,87,26,71,12.62,2,80.5,2.0289,95.773,79.177,2.6115,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Electric Kettle,Low,8.56,87,25,86,29.56,1,81.0,3.4533,92.806,75.668,3.4197,Excellent
Automotive,Honeycomb Board,Cardboard,Touch Up Paint,High,45.99,70,35,93,2.12,3,67.5,0.0461,99.904,88.476,1.1378,Excellent
Furniture,Kraft Paper,Paper,Coffee Table,Medium,13.95,63,45,84,2.83,2,59.0,0.2029,99.577,76.928,1.3429,Excellent
Construction,Aluminum Can,Metal,Tile Cleaner,High,8.88,17,69,96,12.21,3,24.0,1.375,97.136,75.484,2.581,Excellent
Construction,Stone Paper,Paper,Grout,Medium,13.61,57,45,86,12.38,2,56.0,0.9096,98.105,76.16,2.5938,Excellent
Furniture,Kraft Paper,Paper,Folding Table,Medium,14.81,68,48,86,1.41,2,60.0,0.0952,99.802,77.784,0.8796,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Tv Unit,High,41.79,75,40,95,36.74,3,67.5,0.8792,98.168,88.542,3.6307,Excellent
Healthcare,Molded Pulp,Paper,Pregnancy Test Kit,Medium,9.76,77,32,92,3.59,2,72.5,0.3678,99.234,82.892,1.5239,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Ointments,Medium,7.98,90,25,74,23.73,2,82.5,2.9737,93.805,80.035,3.208,Excellent
Food,Steel Can,Metal,Coconut Oil,High,19.93,19,78,94,154.81,3,20.5,7.7677,83.819,70.605,5.0486,Good
Home Appliances,Wood Wool Cushioning,Natural Fiber,Sandwich Maker,Low,8.36,88,23,86,9.4,1,82.5,1.1244,97.658,77.331,2.3418,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Putty,High,40.26,71,36,92,4.47,3,67.5,0.111,99.769,88.192,1.6993,Excellent
Construction,Hemp Fiber Bag,Natural Fiber,Cement Bags,Medium,12.18,89,19,86,32.4,2,85.0,2.6601,94.459,83.948,3.5086,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Mouse,Medium,11.24,92,20,89,38.22,2,86.0,3.4004,92.916,84.612,3.6692,Excellent
Furniture,Cork Packaging,Natural Material,Bean Bag,Medium,10.63,91,19,88,8.16,2,86.0,0.7676,98.401,85.734,2.2148,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Ceiling Fan,High,56.6,72,38,89,33.16,3,67.0,0.5859,98.779,87.045,3.5311,Excellent
Furniture,Cork Packaging,Natural Material,Shoe Rack,Medium,9.2,87,20,88,42.23,2,83.5,4.5902,90.438,82.993,3.7665,Excellent
Textiles,Jute Sack,Natural Fiber,School Uniform,High,25.45,88,23,89,38.74,3,82.5,1.5222,96.829,91.207,3.6824,Excellent
Construction,Tin Container,Metal,Caulk,High,15.59,18,71,95,15.44,3,23.5,0.9904,97.937,75.284,2.7997,Excellent
Construction,Corrugated Cardboard,Cardboard,Tile Adhesive,High,50.69,69,41,91,11.36,3,64.0,0.2241,99.533,86.833,2.5145,Excellent
Furniture,Honeycomb Board,Cardboard,Wardrobe,High,36.17,72,36,93,10.52,3,68.0,0.2908,99.394,88.498,2.4441,Excellent
Food,Amber Glass Bottle,Glass,Baby Food,High,26.67,34,56,94,9.71,3,39.0,0.3641,99.242,80.011,2.3712,Excellent
Electronics,Honeycomb Board,Cardboard,Led Strip,High,35.15,69,40,90,23.24,3,64.5,0.6612,98.623,86.506,3.188,Excellent
Food,Kraft Paper,Paper,Chili Powder,Medium,14.53,65,43,82,9.55,2,61.0,0.6573,98.631,76.791,2.3561,Excellent
Healthcare,Amber Glass Bottle,Glass,Injections,High,28.16,36,60,93,16.17,3,38.0,0.5742,98.804,79.351,2.8432,Excellent
Cosmetics,Recycled Glass Jar,Recycled Glass,Foundation,High,19.79,35,54,93,26.71,3,40.5,1.3497,97.188,79.697,3.3218,Excellent
Textiles,Corrugated Cardboard,Cardboard,Underwear,High,48.78,71,37,87,39.55,3,67.0,0.8108,98.311,86.428,3.7025,Excellent
Furniture,Cork Packaging,Natural Material,Rocking Chair,Medium,11.32,90,23,84,8.46,2,83.5,0.7473,98.443,83.994,2.2471,Excellent
Toys,Sbs Board,Cardboard,Building Blocks,Medium,18.86,64,42,90,27.66,2,61.0,1.4666,96.945,78.37,3.3555,Excellent
Construction,Tin Container,Metal,Cement Bags,High,16.37,21,70,99,32.95,3,25.5,2.0128,95.807,76.352,3.5249,Excellent
Home Appliances,Molded Pulp,Paper,Air Purifier,Medium,10.54,77,38,91,8.81,2,69.5,0.8359,98.259,81.498,2.2834,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Ceiling Fan,Low,3.01,86,19,71,52.82,1,83.5,17.5482,63.444,65.328,3.9856,Good
Home Appliances,Wood Wool Cushioning,Natural Fiber,Mixer Grinder,Low,7.36,82,24,85,25.04,1,79.0,3.4022,92.913,74.845,3.2596,Good
Construction,Stone Paper,Paper,Plaster Of Paris,Medium,13.35,57,47,88,8.05,2,55.0,0.603,98.744,76.519,2.2028,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Socks,Medium,10.84,94,18,85,72.79,2,88.0,6.7149,86.012,82.486,4.3012,Excellent
Food,Cassava Bag,Bioplastic,Chili Powder,Low,2.99,96,16,89,6.88,1,90.0,2.301,95.207,79.718,2.0643,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Microwave,Medium,6.9,88,23,86,8.88,2,82.5,1.287,97.319,83.913,2.2905,Excellent
Cosmetics,Aluminum Tube,Metal,Face Wash,Medium,5.34,22,71,91,12.17,2,25.5,2.279,95.252,67.546,2.5779,Good
Electronics,Wood Wool Cushioning,Natural Fiber,Earphones,Low,6.95,82,22,90,24.4,1,80.0,3.5108,92.686,76.338,3.2347,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Iron Box,Medium,6.41,87,22,87,19.87,2,82.5,3.0998,93.543,83.219,3.0383,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Usb Charger,Medium,6.07,91,19,87,8.06,2,86.0,1.3278,97.234,85.192,2.2039,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Mixer Grinder,High,43.17,69,40,88,2.87,3,64.5,0.0665,99.861,86.315,1.3533,Excellent
Textiles,Sbs Board,Cardboard,Woolen Sweater,Medium,17.84,65,40,88,5.57,2,62.5,0.3122,99.35,78.921,1.8825,Excellent
Electronics,Honeycomb Board,Cardboard,Keyboard,High,40.57,69,38,93,20.32,3,65.5,0.5009,98.957,87.639,3.0596,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Toaster,Low,6.97,85,25,87,34.34,1,80.0,4.9268,89.737,74.851,3.565,Good
Electronics,Hemp Fiber Bag,Natural Fiber,Electric Toothbrush,Medium,12.53,94,16,89,6.19,2,89.0,0.494,98.971,87.026,1.9727,Excellent
Healthcare,Glassine Paper,Paper,Thermometer Strips,Low,5.73,66,50,81,5.57,1,58.0,0.9721,97.975,68.81,1.8825,Good
Automotive,Kraft Paper,Paper,Car Led Lights,Medium,15.03,63,46,84,11.82,2,58.5,0.7864,98.362,76.474,2.551,Excellent
Electronics,Honeycomb Board,Cardboard,Led Bulb,High,40.87,75,37,92,24.38,3,69.0,0.5965,98.757,88.389,3.234,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Air Purifier,High,47.13,68,40,88,2.06,3,64.0,0.0437,99.909,86.177,1.1184,Excellent
Food,Recycled Cardboard Box,Recycled Cardboard,Vinegar,High,45.3,70,38,90,47.47,3,66.0,1.0479,97.817,86.754,3.8809,Excellent
Construction,Jute Sack,Natural Fiber,Cement Bags,High,23.33,90,20,88,27.79,3,85.0,1.1912,97.519,91.88,3.36,Excellent
Automotive,Corrugated Cardboard,Cardboard,Spark Plugs,High,52.61,73,40,88,41.23,3,66.5,0.7837,98.367,86.542,3.7431,Excellent
Cosmetics,Bamboo Container,Natural Fiber,Nail Polish,High,15.07,92,20,78,5.26,3,86.0,0.349,99.273,90.118,1.8342,Excellent
Textiles,Corrugated Cardboard,Cardboard,Fabric Rolls,High,53.17,70,41,90,18.79,3,64.5,0.3534,99.264,86.666,2.9852,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Pregnancy Test Kit,High,24.03,41,55,97,113.24,3,43.0,4.7124,90.183,79.696,4.7383,Excellent
Automotive,Aluminum Can,Metal,Brake Pads,High,9.46,17,75,96,19.0,3,21.0,2.0085,95.816,74.254,2.9957,Good
Automotive,Jute Sack,Natural Fiber,Seat Covers,High,27.06,91,19,90,4.35,3,86.0,0.1608,99.665,93.216,1.6771,Excellent
Automotive,Molded Pulp,Paper,Car Wax,Medium,10.06,81,34,93,13.26,2,73.5,1.3181,97.254,82.947,2.6575,Excellent
Furniture,Jute Sack,Natural Fiber,Bean Bag,High,23.09,90,19,86,3.1,3,85.5,0.1343,99.72,92.08,1.411,Excellent
Construction,Stone Paper,Paper,Tile Adhesive,Medium,11.86,61,49,88,14.13,2,56.0,1.1914,97.518,76.513,2.7167,Excellent
Electronics,Corn Starch Foam,Bioplastic,Webcam,Low,3.17,90,21,71,42.92,1,84.5,13.5394,71.795,67.715,3.7824,Good
Cosmetics,Cotton Bag,Natural Fiber,Hair Oil,Medium,10.77,89,20,82,3.36,2,84.5,0.312,99.35,84.021,1.4725,Excellent
Furniture,Molded Pulp,Paper,Storage Ottoman,Medium,9.71,79,35,92,1.0,2,72.0,0.103,99.785,82.88,0.6931,Excellent
Construction,Hemp Fiber Bag,Natural Fiber,Caulk,Medium,11.65,91,21,85,16.96,2,85.0,1.4558,96.967,84.325,2.8881,Excellent
Toys,Bamboo Container,Natural Fiber,Basket Ball,High,13.24,90,20,80,2.81,3,85.0,0.2122,99.558,90.39,1.3376,Excellent
Construction,Kraft Paper,Paper,Putty,Medium,17.16,63,47,88,13.25,2,58.0,0.7721,98.392,77.331,2.6568,Excellent
Textiles,Sbs Board,Cardboard,Blankets,Medium,18.67,63,42,88,17.91,2,60.5,0.9593,98.002,77.984,2.9397,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Induction Cooktop,High,46.5,69,38,88,11.68,3,65.5,0.2512,99.477,86.519,2.54,Excellent
Toys,Kraft Paper,Paper,Card Game,Medium,16.64,65,47,88,28.32,2,59.0,1.7019,96.455,77.147,3.3783,Excellent
Furniture,Molded Pulp,Paper,Tv Unit,Medium,10.35,77,33,95,13.36,2,72.0,1.2908,97.311,83.011,2.6644,Excellent
Construction,Jute Sack,Natural Fiber,Cement Bags,High,22.28,88,24,89,8.44,3,82.0,0.3788,99.211,91.653,2.245,Excellent
Automotive,Aluminum Can,Metal,Coolant,High,9.5,21,75,95,122.75,3,23.0,12.9211,73.083,68.921,4.8183,Good
Automotive,Steel Can,Metal,Oil Filter,High,17.67,20,72,94,48.87,3,24.0,2.7657,94.239,74.26,3.9094,Good
Construction,Corrugated Cardboard,Cardboard,Cement Bags,High,52.79,71,38,87,24.92,3,66.5,0.4721,99.017,86.454,3.255,Excellent
Cosmetics,Frosted Glass Bottle,Glass,Exfoliating Scrub,High,32.15,38,57,92,79.26,3,40.5,2.4653,94.864,78.866,4.3853,Excellent
Electronics,Honeycomb Board,Cardboard,Laptop,High,40.52,73,36,88,2.25,3,68.5,0.0555,99.884,87.521,1.1787,Excellent
Healthcare,Kraft Paper,Paper,Injections,Medium,16.45,63,45,86,0.97,2,59.0,0.059,99.877,77.503,0.678,Excellent
Automotive,Aluminum Can,Metal,Exhaust Gasket,High,11.41,20,73,99,34.09,3,23.5,2.9877,93.776,75.244,3.5579,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Water Purifier,Medium,6.42,86,23,86,8.17,2,81.5,1.2726,97.349,83.621,2.2159,Excellent
Furniture,Molded Pulp,Paper,Bar Stool,Medium,9.52,75,36,93,2.08,2,69.5,0.2185,99.545,82.32,1.1249,Excellent
Automotive,Kraft Paper,Paper,Fuel Injector,Medium,13.04,68,46,87,11.08,2,61.0,0.8497,98.23,77.941,2.4916,Excellent
Textiles,Pineapple Fiber Bag,Natural Fiber,Saree,Medium,8.37,93,19,84,16.34,2,87.0,1.9522,95.933,84.417,2.853,Excellent
Textiles,Cotton Bag,Natural Fiber,Denim Jeans,Medium,10.79,88,22,82,6.53,2,83.0,0.6052,98.739,83.418,2.0189,Excellent
Textiles,Pineapple Fiber Bag,Natural Fiber,School Uniform,Medium,9.68,91,19,87,11.74,2,86.0,1.2128,97.474,85.252,2.5447,Excellent
Food,Recycled Glass Jar,Recycled Glass,Beer,High,19.24,41,54,94,30.13,3,43.5,1.566,96.738,80.734,3.4382,Excellent
Furniture,Kraft Paper,Paper,Tv Unit,Medium,15.97,68,42,83,19.52,2,63.0,1.2223,97.454,77.347,3.0214,Excellent
Electronics,Molded Pulp,Paper,Mouse,Medium,11.39,81,35,93,1.37,2,73.0,0.1203,99.749,83.421,0.8629,Excellent
Food,Sugarcane Bottle,Bioplastic,Spices,Medium,9.1,89,29,77,54.67,2,80.0,6.0077,87.485,78.455,4.0194,Excellent
Toys,Sbs Board,Cardboard,Remote Control Car,Medium,17.9,64,42,88,2.32,2,61.0,0.1296,99.73,78.566,1.2,Excellent
Food,Seed Paper,Paper,Wine,Low,4.4,92,11,90,10.79,1,90.5,2.4523,94.891,80.039,2.4673,Excellent
Toys,Molded Pulp,Paper,Remote Control Car,Medium,9.04,76,36,89,4.54,2,70.0,0.5022,98.954,81.322,1.712,Excellent
Construction,Steel Can,Metal,Concrete Hardener,High,17.6,20,75,96,5.06,3,22.5,0.2875,99.401,75.6,1.8017,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Cctv Camera,Low,7.8,82,28,86,9.87,1,77.0,1.2654,97.364,75.608,2.386,Excellent
